epoch	train_loss	train_acc	val_loss	val_acc
1	1.5337929990556505	93.16338354577057	1.687666015965598	73.14814814814815
2	1.6615065104431577	90.03476245654693	1.6833315321377345	71.75925925925925
3	1.6225973157970994	90.73001158748552	1.6240961296217782	72.68518518518519
4	1.6524760314711817	90.03476245654693	1.6201264432498388	71.75925925925925
5	1.4531437158584595	91.88876013904982	1.602600600038256	72.22222222222223
6	1.6145375061918188	87.48551564310544	1.6115301251411438	72.68518518518519
7	1.56486349746033	88.64426419466976	1.5971742527825492	72.68518518518519
8	1.61195703347524	90.49826187717265	1.6185896822384425	74.07407407407408
9	1.6198292407724593	91.30938586326766	1.6021910565240043	74.53703703703704
10	1.552441801185961	92.35225955967555	1.6205353566578455	76.38888888888889
11	1.4984413473694413	89.80301274623406	1.5899256893566676	73.61111111111111
12	1.581184505312531	88.99188876013905	1.629361127104078	72.68518518518519
13	1.550134602520201	91.88876013904982	1.6002983621188573	75.0
14	1.5174753412052437	88.41251448435689	1.6074903437069483	74.53703703703704
15	1.3429305961838476	93.279258400927	1.6002717869622367	75.92592592592592
16	1.4209400327117354	90.73001158748552	1.5718289443424769	74.53703703703704
17	1.430645101600223	95.24913093858633	1.5959794180733817	75.0
18	1.4511143995655909	91.54113557358053	1.589556770665305	73.61111111111111
19	1.5714450423364286	91.30938586326766	1.589706574167524	74.53703703703704
20	1.5755535419340487	87.02201622247972	1.6108627149036951	75.0
21	1.4437275860044692	91.54113557358053	1.6097548518862044	73.14814814814815
22	1.5951773447019082	90.61413673232909	1.6138716680662972	73.14814814814815
23	1.5350758808630485	90.73001158748552	1.5910143596785409	74.07407407407408
24	1.5354290803273518	88.64426419466976	1.5784872003964014	76.38888888888889
25	1.5575468396698986	86.558516801854	1.588369105543409	76.38888888888889
26	1.338199605544408	92.9316338354577	1.5882811631475175	75.92592592592592
27	1.5214942715786122	89.9188876013905	1.6051568133490426	77.77777777777777
28	1.4368426082310852	89.80301274623406	1.584659116608756	76.85185185185185
29	1.540692404464439	90.61413673232909	1.6391369189534868	76.38888888888889
30	1.503197764908826	93.16338354577057	1.5998710479055132	76.85185185185185
31	1.3926157686445448	92.9316338354577	1.5812857917376928	75.92592592592592
32	1.3661126538559243	90.96176129779838	1.570360575403486	76.38888888888889
33	1.5545868023678109	88.87601390498261	1.620187222957611	76.85185185185185
34	1.3699895132471014	93.85863267670915	1.5634698101452418	76.38888888888889
35	1.4196251619745184	91.4252607184241	1.5752319182668413	76.38888888888889
36	1.543192403184043	87.36964078794901	1.5543147751263209	74.53703703703704
37	1.250357453469877	95.24913093858633	1.5533070393971034	78.70370370370371
38	1.363472079789197	91.4252607184241	1.6211322460855757	75.92592592592592
39	1.3948410970193368	91.88876013904982	1.5513837252344405	77.31481481481481
40	1.4436441593699985	92.69988412514485	1.5787767597607203	77.31481481481481
41	1.4198288829238326	91.19351100811124	1.613816806248256	76.38888888888889
42	1.328358115973296	93.39513325608343	1.58461537531444	78.24074074074075
43	1.320131085537098	95.36500579374275	1.572716704436711	75.0
44	1.409829435525117	89.80301274623406	1.5884809579168047	76.85185185185185
45	1.5289661740815197	89.68713789107764	1.5911753603390284	77.77777777777777
46	1.2808651372238442	92.81575898030127	1.58092257806233	77.77777777777777
47	1.4202009593998943	92.35225955967555	1.5786548852920532	77.77777777777777
48	1.4944036845807676	89.68713789107764	1.6038927606173925	76.85185185185185
49	1.6009606034667403	89.22363847045192	1.584635010787419	77.31481481481481
50	1.4087543763496257	93.74275782155273	1.5856063451085771	76.38888888888889
51	1.4293858099866796	92.35225955967555	1.587854700429099	77.77777777777777
52	1.5201061721201297	90.61413673232909	1.613798473562513	75.92592592592592
53	1.4465892789540467	88.64426419466976	1.5769919923373632	77.77777777777777
54	1.2946791637826849	94.66975666280418	1.5531285660607475	77.77777777777777
55	1.392379371104417	90.03476245654693	1.5923298937933785	75.92592592592592
56	1.45797108941608	91.54113557358053	1.5800153357642037	77.31481481481481
57	1.405052881549906	93.39513325608343	1.5978669609342302	76.85185185185185
58	1.3594384579746812	93.279258400927	1.545179315975734	76.38888888888889
59	1.3411386101334184	92.58400926998841	1.573476833956582	77.77777777777777
60	1.4479677500548187	92.00463499420626	1.581624984741211	77.77777777777777
61	1.4432281112229381	90.49826187717265	1.590069932597024	77.77777777777777
62	1.315130223830541	94.7856315179606	1.5496100527899606	76.38888888888889
63	1.393503788444731	88.87601390498261	1.5886987021991186	76.85185185185185
64	1.4220512983975586	92.58400926998841	1.5951973029545374	78.70370370370371
65	1.3111887960522264	93.279258400927	1.550921312400273	78.24074074074075
66	0.8398587229075255	100.0	1.5089104431016105	77.77777777777777
67	0.8431090381410387	100.0	1.5033950465066093	76.85185185185185
68	0.8442277091520803	100.0	1.5171701652663094	77.31481481481481
69	0.8392134220511825	100.0	1.522431995187487	76.38888888888889
70	0.8469985712457586	99.88412514484357	1.510249742439815	77.77777777777777
71	0.8404616448614333	100.0	1.5209193059376307	76.85185185185185
72	0.8384611474143134	100.0	1.5242541772978646	77.77777777777777
73	0.840291483534707	100.0	1.5154136504445757	76.38888888888889
74	0.8455585318583029	100.0	1.5141856500080653	78.24074074074075
75	0.8407263016259229	100.0	1.5201487456049239	78.24074074074075
76	0.8408292841028284	100.0	1.513859408242362	76.85185185185185
77	0.8417919311258528	100.0	1.5154023170471191	78.24074074074075
78	0.8386227300873509	100.0	1.525866687297821	77.31481481481481
79	0.8395710863448955	100.0	1.5115843159811837	79.16666666666667
80	0.8435356561784391	100.0	1.5152197139603751	77.31481481481481
