epoch	train_loss	train_acc	val_loss	val_acc
1	4.143389472255	13.325608342989572	3.4794035298483714	29.166666666666668
2	3.141319751739502	35.34183082271147	2.9747896024159024	35.18518518518518
3	2.712933646308051	49.826187717265356	2.726424438612802	41.2037037037037
4	2.46908911952266	55.6199304750869	2.649260640144348	40.27777777777778
5	2.2928184381237737	61.52954808806489	2.525919352258955	42.129629629629626
6	2.1981732183032565	66.85979142526072	2.4847662959780012	43.51851851851852
7	2.115825275580088	69.98841251448435	2.45192323412214	43.51851851851852
8	2.093201078750469	69.7566628041715	2.4061570508139476	44.907407407407405
9	2.034570080262643	71.03128621089223	2.4197782448359897	44.44444444444444
10	2.02698857916726	73.58053302433372	2.404013054711478	44.44444444444444
