epoch	train_loss	train_acc	val_loss	val_acc
1	0.8816214005152384	100.0	1.6666395664215088	70.37037037037037
2	0.8823560310734643	99.88412514484357	1.6458783149719238	70.37037037037037
3	0.8819636172718472	99.88412514484357	1.6252927950450353	70.37037037037037
4	0.8779501683182187	100.0	1.6418939999171667	71.75925925925925
5	0.8748459937395873	100.0	1.6265660183770316	72.22222222222223
6	0.88192711825724	99.65237543453071	1.6497235553605216	68.98148148148148
7	0.8764711210021267	100.0	1.6297147359166826	71.29629629629629
8	0.8769711476785166	100.0	1.6203923566000802	72.68518518518519
9	0.8757471210426755	99.88412514484357	1.6265251636505127	70.83333333333333
10	0.8761596999786518	99.76825028968713	1.61981862783432	72.68518518518519
11	0.8732948159729993	100.0	1.6085546186992101	74.53703703703704
12	0.873064441813363	100.0	1.6095759783472334	73.14814814814815
13	0.87339679952021	99.88412514484357	1.6190424646650041	73.14814814814815
14	0.866700737564652	100.0	1.6212104558944702	72.68518518518519
15	0.8732042213280996	99.76825028968713	1.601236070905413	73.61111111111111
16	0.8650189439455668	100.0	1.6261881249291557	71.29629629629629
17	0.8667144378026327	100.0	1.618410016809191	73.14814814814815
18	0.8696994693190964	99.76825028968713	1.623933460031237	71.75925925925925
19	0.8627988111089777	100.0	1.6031199267932348	71.29629629629629
20	0.8601561552948422	100.0	1.622384446007865	71.75925925925925
21	0.8623487231908021	100.0	1.6052826728139604	72.68518518518519
22	0.8588190067697454	100.0	1.6161070551191057	73.61111111111111
23	0.8561310701900058	100.0	1.615592590400151	72.68518518518519
24	0.8599915007750193	99.88412514484357	1.6127226948738098	73.61111111111111
25	0.8590301904413435	100.0	1.606650446142469	74.07407407407408
26	0.8581496995908243	100.0	1.6177303876195634	73.14814814814815
27	0.8592211383360403	100.0	1.6034107548849923	74.07407407407408
28	0.8625180588828193	100.0	1.6192372270992823	74.07407407407408
29	0.8613582606668826	100.0	1.6015059351921082	74.53703703703704
30	0.8561220974833877	100.0	1.621658708368029	73.14814814814815
31	0.861882487932841	100.0	1.6112150975636073	73.61111111111111
32	0.8539433976014456	100.0	1.6007017663546972	74.53703703703704
33	0.8594619753184142	100.0	1.6171720368521554	73.61111111111111
34	0.8571466560716983	100.0	1.5977705717086792	74.07407407407408
35	0.8558546437157525	100.0	1.6058519908360072	73.61111111111111
36	0.8608914028715204	100.0	1.599355399608612	73.61111111111111
37	0.8556939838109193	100.0	1.618469136101859	73.61111111111111
38	0.8571837588592812	100.0	1.6071272918156214	73.61111111111111
39	0.858921280613652	100.0	1.6121373687471663	73.61111111111111
40	0.8583963656866992	100.0	1.6152176771845137	72.22222222222223
